"filename", "language", "JavaScript", "JSON", "JSON with Comments", "HTML", "Markdown", "vue", "CSS", "XML", "comment", "blank", "total"
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\README.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 0, 12, 30
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\package-lock.json", "JSON", 0, 1077, 0, 0, 0, 0, 0, 0, 0, 1, 1078
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\App.vue", "vue", 0, 0, 0, 0, 0, 76, 0, 0, 0, 15, 91
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 71, 0, 2, 14, 87
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\TheWelcome.vue", "vue", 0, 0, 0, 0, 0, 76, 0, 0, 0, 13, 89
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\UserNav.vue", "vue", 0, 0, 0, 0, 0, 49, 0, 0, 12, 12, 73
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\WelcomeItem.vue", "vue", 0, 0, 0, 0, 0, 76, 0, 0, 0, 11, 87
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\icons\IconCommunity.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 1, 1, 20
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\main.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\router\index.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 1, 2, 118
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\stores\counter.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdminLoginView.vue", "vue", 0, 0, 0, 0, 0, 92, 0, 0, 0, 8, 100
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdminMainView.vue", "vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 11, 57
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdminMerchantView.vue", "vue", 0, 0, 0, 0, 0, 240, 0, 0, 8, 19, 267
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdminPriceHistoryView.vue", "vue", 0, 0, 0, 0, 0, 308, 0, 0, 9, 15, 332
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdminProductView.vue", "vue", 0, 0, 0, 0, 0, 209, 0, 0, 8, 9, 226
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdminUserView.vue", "vue", 0, 0, 0, 0, 0, 269, 0, 0, 13, 23, 305
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\Adminplatform.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdvancedQuery\Merchant.vue", "vue", 0, 0, 0, 0, 0, 98, 0, 0, 4, 9, 111
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdvancedQuery\Product.vue", "vue", 0, 0, 0, 0, 0, 98, 0, 0, 4, 9, 111
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\AdvancedQuery\User.vue", "vue", 0, 0, 0, 0, 0, 122, 0, 0, 6, 10, 138
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 83, 0, 0, 5, 8, 96
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\LoginView.vue", "vue", 0, 0, 0, 0, 0, 100, 0, 0, 0, 8, 108
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\MerchantLoginView.vue", "vue", 0, 0, 0, 0, 0, 94, 0, 0, 0, 8, 102
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\MerchantMainView.vue", "vue", 0, 0, 0, 0, 0, 345, 0, 0, 3, 18, 366
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\MerchantRegisterView.vue", "vue", 0, 0, 0, 0, 0, 104, 0, 0, 4, 12, 120
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\MsgListView.vue", "vue", 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\MyFavorite.vue", "vue", 0, 0, 0, 0, 0, 142, 0, 0, 7, 9, 158
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\ProductView.vue", "vue", 0, 0, 0, 0, 0, 191, 0, 0, 8, 8, 207
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\RegisterView.vue", "vue", 0, 0, 0, 0, 0, 122, 0, 0, 7, 15, 144
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\src\views\UserMainView.vue", "vue", 0, 0, 0, 0, 0, 97, 0, 0, 9, 14, 120
"d:\fdu\大三上\数据库\pj\2023DateBase_PJ\front\vite.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"Total", "-", 156, 1101, 8, 13, 18, 3164, 101, 1, 112, 334, 5008